-0.0455695,-0.00158498,0.456194,0.00115816,-0.00176578,0.00502616,0.999985,-0.00634721,0.726606,-1.3017,0.00638027,0.724651,-1.29884,-0.00635801,-0.743733,1.29775,0.00634459,-0.747285,1.30355,0.000125342,1.98542e-05,-1.04716e-05,-0.000134248,-0.00115949,0.0706209,-0.118176,0.000961584,0.0905715,-0.147272,-0.00117765,-0.0797634,0.115031,0.00117617,-0.0435306,0.0559479,-2.37039e-05,-1.41169e-05,5.5653e-06,4.91795e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.000645017,0.000836732,-0.00054648,-7.29752e-05,0
-0.0460177,-0.00156444,0.456109,0.00105956,-0.00277104,0.00491818,0.999984,-0.0063644,0.727681,-1.3035,0.00639465,0.726018,-1.30106,-0.00637509,-0.744943,1.2995,0.00636165,-0.747965,1.30444,0.000125228,1.97922e-05,-1.04725e-05,-0.000134276,-0.00103988,0.0653207,-0.109261,0.000860122,0.0822977,-0.134014,-0.000902465,-0.0733724,0.106592,0.000915608,-0.0426229,0.0562846,-1.61507e-06,-9.31772e-07,-3.6662e-05,-7.87296e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0316182,0.0317623,3.38931,4.77242,0
-0.0454448,-0.00144402,0.455357,0.000837999,-0.00203508,0.00474952,0.999986,-0.00637999,0.728716,-1.30523,0.00640773,0.727301,-1.30315,-0.00638867,-0.746097,1.3012,0.00637527,-0.748669,1.3054,0.00012522,1.97866e-05,-1.10486e-05,-0.000134898,-0.000931881,0.0648274,-0.108341,0.000785924,0.079268,-0.129402,-0.00081071,-0.0718545,0.10607,0.000810892,-0.0456327,0.0632989,-2.36242e-07,-2.22451e-07,-3.44093e-05,-3.55399e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0213185,0.0214441,3.45223,3.58811,0
-0.0440742,-0.0015399,0.454569,0.000925614,-0.00049349,0.00470458,0.999988,-0.00639321,0.729782,-1.30701,0.00641954,0.728576,-1.30524,-0.00640246,-0.747264,1.30294,0.00638787,-0.749452,1.30652,0.000125783,1.994e-05,-1.13351e-05,-0.000135099,-0.000724469,0.0685024,-0.11403,0.000638054,0.0807176,-0.131883,-0.000923487,-0.0743335,0.112092,0.00086589,-0.0520586,0.0757342,4.86934e-05,3.62112e-05,2.98461e-07,-4.92006e-06,0,0,0,0,0,0,0,0,0,0,0,0,-5.19832,-3.61079,-0.0241715,0.557012,0
-0.043742,-0.00198654,0.454448,0.00140916,-9.44791e-05,0.00472224,0.999988,-0.00640542,0.730934,-1.30892,0.00642963,0.729907,-1.30742,-0.00641673,-0.748504,1.30483,0.0064025,-0.750368,1.30787,0.000126443,2.04544e-05,-1.13322e-05,-0.000135437,-0.000773112,0.0750452,-0.12499,0.000645147,0.0854832,-0.140252,-0.000874382,-0.0804161,0.123425,0.000915892,-0.0615777,0.0924324,3.10689e-05,2.69037e-05,8.74447e-08,-3.03835e-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.37994,-2.69171,-0.00847907,2.9237,0
-0.0439171,-0.00217207,0.454193,0.00160464,-0.000233007,0.0047371,0.999987,-0.00641773,0.732214,-1.31106,0.00644017,0.73134,-1.30977,-0.00643058,-0.749867,1.30694,0.00641703,-0.751456,1.30953,0.000126873,2.08021e-05,-1.13319e-05,-0.000136088,-0.000771007,0.084268,-0.140355,0.000664664,0.0931253,-0.15334,-0.000862933,-0.0892524,0.13905,0.000906969,-0.073316,0.112677,2.80926e-05,1.73734e-05,-9.75162e-09,-4.69547e-05,0,0,0,0,0,0,0,0,0,0,0,0,-2.82807,-1.72004,0.000972105,4.57412,0
-0.0441077,-0.00197444,0.453815,0.0013857,-0.000390749,0.00475723,0.999988,-0.00643067,0.733662,-1.31347,0.00645137,0.732917,-1.31237,-0.00644444,-0.751392,1.30933,0.00643157,-0.752748,1.31154,0.000127435,2.09938e-05,-1.13322e-05,-0.000136882,-0.00085906,0.0956561,-0.159173,0.000747192,0.103086,-0.170231,-0.000870483,-0.1003,0.158104,0.000914069,-0.0867578,0.13566,4.15549e-05,7.74482e-06,-1.74076e-08,-5.03171e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.0634,-0.787965,0.00173242,5.04391,0
-0.0442642,-0.00165385,0.453411,0.00103889,-0.00050802,0.00478184,0.999988,-0.00644546,0.735308,-1.31621,0.00646433,0.73467,-1.31527,-0.00645839,-0.75311,1.31205,0.00644618,-0.754268,1.31393,0.00012821,2.10386e-05,-1.13621e-05,-0.000137677,-0.000963656,0.108655,-0.180712,0.000851297,0.114892,-0.190136,-0.000851556,-0.113122,0.179849,0.000885502,-0.101558,0.160754,5.14156e-05,-1.15842e-07,-6.51096e-06,-4.73893e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.01332,0.00092962,0.64475,4.88432,0
-0.04436,-0.00148984,0.453012,0.000863478,-0.000539847,0.0047951,0.999988,-0.00646286,0.737173,-1.31931,0.00647834,0.736626,-1.31851,-0.00647226,-0.755046,1.31514,0.00646215,-0.756034,1.31674,0.000129002,2.10382e-05,-1.14569e-05,-0.000138407,-0.00244339,0.122849,-0.204355,0.00089603,0.128164,-0.212372,-0.000866461,-0.127242,0.203663,0.00252971,-0.117395,0.187419,4.82574e-05,-2.84809e-09,-5.27632e-06,-4.54422e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.85329,-0.00023031,0.526435,4.57422,0
-0.0444059,-0.00150543,0.452538,0.000881501,-0.000505394,0.00480988,0.999988,-0.00647788,0.739274,-1.3228,0.00649317,0.738805,-1.32213,-0.00648737,-0.757217,1.31863,0.00647673,-0.758061,1.31999,0.000129767,2.10382e-05,-1.15154e-05,-0.000139162,-0.00102931,0.137984,-0.229548,0.000952781,0.142508,-0.236369,-0.000976537,-0.142357,0.229008,0.00100174,-0.13401,0.215184,4.78408e-05,2.16998e-09,-2.11325e-06,-4.88884e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.8131,-0.000265789,0.217674,4.86844,0
