-0.0482673,-1.00362e-05,0.46353,3.60284e-06,1.0912e-05,1.43723e-05,1,4.53001e-06,0.7904,-1.48191,-6.50444e-06,0.790413,-1.48193,5.72752e-06,-0.790645,1.4819,-4.53502e-06,-0.790633,1.48188,8.09494e-07,7.61635e-07,5.66864e-07,5.0717e-07
-0.0483479,-1.00227e-05,0.463052,3.70662e-06,1.14019e-05,1.48398e-05,1,3.57323e-06,0.79194,-1.48467,-7.27103e-06,0.791956,-1.4847,5.98853e-06,-0.792531,1.48465,-4.02015e-06,-0.792517,1.48462,7.83408e-07,7.75068e-07,1.67161e-07,1.5205e-07
-0.0484359,-9.99989e-06,0.462491,3.81206e-06,6.3682e-06,1.537e-05,1,2.53231e-06,0.793735,-1.48785,-8.11048e-06,0.793748,-1.48787,6.30943e-06,-0.794688,1.48783,-3.49157e-06,-0.794676,1.48781,5.01955e-07,5.08834e-07,1.23523e-07,1.27e-07
-0.0485291,-9.96843e-06,0.461892,3.8982e-06,-1.8417e-06,1.58993e-05,1,1.51615e-06,0.795658,-1.49125,-8.92523e-06,0.795669,-1.49126,6.64758e-06,-0.796995,1.49124,-2.95178e-06,-0.796985,1.49123,2.44553e-07,2.4746e-07,1.56443e-07,1.46651e-07
-0.0486253,-9.92952e-06,0.461287,3.94956e-06,-1.157e-05,1.63923e-05,1,6.02165e-07,0.797601,-1.49468,-9.6456e-06,0.79761,-1.49469,7.00243e-06,-0.799337,1.4947,-2.41317e-06,-0.799329,1.49469,5.79129e-08,5.38999e-08,1.49084e-07,1.56579e-07
-0.0487231,-9.88504e-06,0.460698,3.96448e-06,-2.15237e-05,1.68429e-05,1,-1.9003e-07,0.799488,-1.49802,-1.02616e-05,0.799495,-1.49803,7.36566e-06,-0.80163,1.49808,-1.86899e-06,-0.801624,1.49807,-8.36115e-08,-8.97873e-08,1.43278e-07,1.41419e-07
-0.048821,-9.83641e-06,0.460138,3.93925e-06,-3.07076e-05,1.72543e-05,1,-8.62201e-07,0.801269,-1.5012,-1.07592e-05,0.801275,-1.5012,7.75745e-06,-0.803819,1.50128,-1.3103e-06,-0.803814,1.50128,-1.94471e-07,-1.87607e-07,1.20237e-07,1.27371e-07
-0.0489181,-9.78405e-06,0.459617,3.85914e-06,-3.83806e-05,1.7627e-05,1,-1.38226e-06,0.802913,-1.50416,-1.11095e-05,0.802917,-1.50415,8.20367e-06,-0.805868,1.50425,-7.02659e-07,-0.805864,1.50425,-2.66016e-07,-2.63395e-07,1.01334e-07,9.78706e-08
-0.0490136,-9.72957e-06,0.459141,3.73526e-06,-4.40179e-05,1.79692e-05,1,-1.77877e-06,0.8044,-1.50686,-1.1343e-05,0.804403,-1.50686,8.69414e-06,-0.807753,1.50696,-5.2087e-08,-0.80775,1.50696,-3.17704e-07,-3.17913e-07,7.79035e-08,7.35295e-08
-0.0491068,-9.67318e-06,0.458714,3.55657e-06,-4.72782e-05,1.82879e-05,1,-2.04188e-06,0.80572,-1.5093,-1.14419e-05,0.805722,-1.50929,9.26168e-06,-0.809462,1.50938,6.71365e-07,-0.80946,1.50939,-3.61796e-07,-3.52793e-07,5.43441e-08,5.65481e-08
