com_pos_x,com_pos_y,com_pos_z,com_quat_w,com_quat_x,com_quat_y,com_quat_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15
0.00860359,0.0780487,0.433338,0.0271689,-0.255172,0.0136437,0.966418,-0.213053,0.92992,-0.603202,-0.000146963,-2.06131,0.259355,-0.402181,-0.592047,2.30642,-0.226453,-1.11566,1.67544,0.000168364,8.98429e-06,2.75825e-06,-0.000187454
0.00839016,0.0778709,0.433365,0.0272714,-0.255183,0.0138179,0.966409,-0.213054,0.92992,-0.603202,-0.000126062,-2.06131,0.259718,-0.400928,-0.592886,2.30602,-0.225203,-1.11667,1.67775,0.000168364,8.49079e-06,3.00339e-06,-0.000187619
0.00820627,0.0777078,0.433383,0.0273401,-0.255188,0.0139686,0.966404,-0.213054,0.92992,-0.603202,-0.000108305,-2.06132,0.260026,-0.399738,-0.593615,2.30563,-0.223902,-1.1177,1.68021,0.000168364,7.98904e-06,3.22937e-06,-0.000187765
0.00804678,0.0775425,0.433402,0.0274284,-0.255198,0.0141282,0.966396,-0.213054,0.92992,-0.603202,-9.3214e-05,-2.06133,0.260289,-0.398597,-0.594251,2.30526,-0.222552,-1.11877,1.68281,0.000168364,7.48169e-06,3.44303e-06,-0.000187898
0.0079076,0.0773666,0.433424,0.0275601,-0.255219,0.0143119,0.966384,-0.213055,0.92992,-0.603202,-8.03799e-05,-2.06133,0.260512,-0.397495,-0.594808,2.3049,-0.221149,-1.11988,1.68555,0.000168364,6.97312e-06,3.65625e-06,-0.000188028
0.00778558,0.077181,0.433451,0.0277291,-0.255249,0.0145168,0.966369,-0.213055,0.92992,-0.603202,-6.94556e-05,-2.06134,0.260702,-0.39642,-0.595298,2.30456,-0.219694,-1.12102,1.68842,0.000168364,6.46681e-06,3.87855e-06,-0.000188165
0.00767828,0.0769918,0.433477,0.0279121,-0.255283,0.0147297,0.966351,-0.213055,0.92992,-0.603202,-6.01528e-05,-2.06134,0.260864,-0.395366,-0.595732,2.30422,-0.218186,-1.12219,1.69141,0.000168364,5.96399e-06,4.11321e-06,-0.00018831
0.00758368,0.076805,0.433501,0.0280865,-0.255316,0.0149376,0.966334,-0.213055,0.92992,-0.603202,-5.22317e-05,-2.06134,0.261001,-0.394325,-0.596118,2.30388,-0.216624,-1.1234,1.69452,0.000168364,5.46383e-06,4.35767e-06,-0.000188462
0.00749998,0.0766236,0.43352,0.0282408,-0.255345,0.015134,0.966319,-0.213056,0.92992,-0.603202,-4.54911e-05,-2.06135,0.261118,-0.393291,-0.596464,2.30355,-0.215009,-1.12464,1.69775,0.000168364,4.96453e-06,4.60659e-06,-0.000188617
0.00742555,0.0764466,0.433535,0.0283771,-0.25537,0.0153206,0.966305,-0.213056,0.92992,-0.603202,-3.97591e-05,-2.06135,0.261218,-0.39226,-0.596777,2.30322,-0.21334,-1.12592,1.70109,0.000168364,4.46447e-06,4.85527e-06,-0.000188771
0.00735778,0.076271,0.433546,0.0285045,-0.255395,0.015503,0.966292,-0.213056,0.92992,-0.603202,-3.48848e-05,-2.06135,0.261302,-0.391227,-0.597061,2.30288,-0.211617,-1.12722,1.70454,0.000168364,3.97093e-06,5.09825e-06,-0.000188922
