time_s,base_error_x_m,base_error_y_m,base_error_z_m,base_orientation_error_rad,wheel_error_fl_m,wheel_error_fr_m,wheel_error_rl_m,wheel_error_rr_m,contact_mismatch_fl,contact_mismatch_fr,contact_mismatch_rl,contact_mismatch_rr,solve_ms,rollout_termination_rate
2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.907348632812500000e-06,5.960464477539062500e-08,4.991888999938964844e-07,1.921282091643661261e-06,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.953186340332031250e+02,0.000000000000000000e+00
4.000000000000000083e-02,1.621246337890625000e-04,1.049041748046875000e-04,-8.008480072021484375e-04,0.000000000000000000e+00,3.602729411795735359e-03,8.466662839055061340e-04,1.875835470855236053e-03,1.758749946020543575e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.661837158203125000e+02,0.000000000000000000e+00
5.999999999999999778e-02,-2.965927124023437500e-03,4.615783691406250000e-04,-2.176403999328613281e-03,6.098633166402578354e-03,1.292184740304946899e-02,3.278364427387714386e-03,3.318798961117863655e-03,3.848691005259752274e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.338121948242187500e+02,0.000000000000000000e+00
8.000000000000000167e-02,-7.598876953125000000e-03,2.004623413085937500e-03,-4.912257194519042969e-03,1.570114865899085999e-02,2.474096417427062988e-02,3.523812862113118172e-03,9.176271036267280579e-03,5.551857408136129379e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.298805541992187500e+02,0.000000000000000000e+00
1.000000000000000056e-01,-1.219558715820312500e-02,2.882003784179687500e-03,-6.722033023834228516e-03,1.644287630915641785e-02,2.797219716012477875e-02,1.141694188117980957e-02,1.641958765685558319e-02,4.854504484683275223e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.228158264160156250e+02,0.000000000000000000e+00
1.199999999999999956e-01,-1.542282104492187500e-02,3.459930419921875000e-03,-8.259057998657226562e-03,1.742834411561489105e-02,3.103260323405265808e-02,1.605022139847278595e-02,2.303425967693328857e-02,4.732857458293437958e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.303838195800781250e+02,0.000000000000000000e+00
1.400000000000000133e-01,-1.689529418945312500e-02,3.799438476562500000e-03,-9.156644344329833984e-03,1.681565120816230774e-02,3.268921375274658203e-02,1.738389022648334503e-02,2.859305031597614288e-02,4.861244000494480133e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.502722473144531250e+02,0.000000000000000000e+00
1.600000000000000033e-01,-1.708793640136718750e-02,3.803253173828125000e-03,-9.668827056884765625e-03,1.647185161709785461e-02,3.388644754886627197e-02,1.671298779547214508e-02,3.373451158404350281e-02,4.821128211915493011e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.163778381347656250e+02,0.000000000000000000e+00
1.799999999999999933e-01,-1.650810241699218750e-02,3.492355346679687500e-03,-9.998142719268798828e-03,1.657286286354064941e-02,3.448725491762161255e-02,1.690487563610076904e-02,3.860911354422569275e-02,4.950399044901132584e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.157039489746093750e+02,0.000000000000000000e+00
2.000000000000000111e-01,-1.581001281738281250e-02,3.177642822265625000e-03,-1.066583395004272461e-02,1.727720722556114197e-02,3.466086462140083313e-02,1.944613084197044373e-02,4.214539006352424622e-02,4.898989573121070862e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.369184570312500000e+02,0.000000000000000000e+00
2.200000000000000011e-01,-1.567268371582031250e-02,2.851486206054687500e-03,-1.200902462005615234e-02,1.983415894210338593e-02,3.416861221194267273e-02,2.424630708992481232e-02,4.290348291397094727e-02,4.750171210616827011e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.247102050781250000e+02,0.000000000000000000e+00
2.399999999999999911e-01,-1.614570617675781250e-02,2.529144287109375000e-03,-1.355129480361938477e-02,2.324354834854602814e-02,3.319245576858520508e-02,2.821797318756580353e-02,4.204563051462173462e-02,4.461426753550767899e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.260810546875000000e+02,0.000000000000000000e+00
