time_s,base_error_x_m,base_error_y_m,base_error_z_m,base_orientation_error_rad,wheel_error_fl_m,wheel_error_fr_m,wheel_error_rl_m,wheel_error_rr_m,contact_mismatch_fl,contact_mismatch_fr,contact_mismatch_rl,contact_mismatch_rr,solve_ms,rollout_termination_rate
2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.907348632812500000e-06,5.960464477539062500e-08,4.991888999938964844e-07,1.921282091643661261e-06,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.515520629882812500e+02,0.000000000000000000e+00
4.000000000000000083e-02,-2.576828002929687500e-03,-5.493164062500000000e-04,-7.623434066772460938e-05,1.377613656222820282e-02,1.994492672383785248e-02,2.052590250968933105e-02,1.496031065471470356e-03,1.681252382695674896e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.457288818359375000e+02,0.000000000000000000e+00
5.999999999999999778e-02,-9.180068969726562500e-03,-1.222610473632812500e-03,-8.998513221740722656e-04,2.345797047019004822e-02,3.971896320581436157e-02,3.603997826576232910e-02,1.510332105681300163e-03,3.459302941337227821e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.488073120117187500e+02,0.000000000000000000e+00
8.000000000000000167e-02,-1.695060729980468750e-02,-1.001358032226562500e-03,-4.130542278289794922e-03,2.404025010764598846e-02,4.037700593471527100e-02,4.220128059387207031e-02,7.561103440821170807e-03,4.544385708868503571e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.362312011718750000e+02,0.000000000000000000e+00
1.000000000000000056e-01,-2.477073669433593750e-02,-1.186370849609375000e-03,-8.346140384674072266e-03,2.804985269904136658e-02,4.147655516862869263e-02,4.881941154599189758e-02,1.558267232030630112e-02,4.180964548140764236e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.275208129882812500e+02,0.000000000000000000e+00
1.199999999999999956e-01,-3.123283386230468750e-02,-1.274108886718750000e-03,-1.383948326110839844e-02,3.089736215770244598e-02,4.296833276748657227e-02,5.267817154526710510e-02,2.219339273869991302e-02,4.108618944883346558e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.507302856445312500e+02,0.000000000000000000e+00
1.400000000000000133e-01,-3.573226928710937500e-02,-1.487731933593750000e-03,-1.933234930038452148e-02,3.389289230108261108e-02,4.513271152973175049e-02,5.420326441526412964e-02,2.743691764771938324e-02,3.942637704312801361e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.603660888671875000e+02,0.000000000000000000e+00
1.600000000000000033e-01,-3.846549987792968750e-02,-2.059936523437500000e-03,-2.415311336517333984e-02,3.588167950510978699e-02,4.679176583886146545e-02,5.492872372269630432e-02,3.285318613052368164e-02,4.183758050203323364e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.831312866210937500e+02,0.000000000000000000e+00
1.799999999999999933e-01,-3.999519348144531250e-02,-3.028869628906250000e-03,-2.776724100112915039e-02,3.730215877294540405e-02,4.817675426602363586e-02,5.589096620678901672e-02,3.769396618008613586e-02,4.100710153579711914e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.815978393554687500e+02,0.000000000000000000e+00
2.000000000000000111e-01,-4.075813293457031250e-02,-4.232406616210937500e-03,-2.977156639099121094e-02,3.809277340769767761e-02,4.892993718385696411e-02,5.689189955592155457e-02,4.265527799725532532e-02,4.150375258177518845e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.880367431640625000e+02,0.000000000000000000e+00
