time_s,base_error_x_m,base_error_y_m,base_error_z_m,base_orientation_error_rad,wheel_error_fl_m,wheel_error_fr_m,wheel_error_rl_m,wheel_error_rr_m,contact_mismatch_fl,contact_mismatch_fr,contact_mismatch_rl,contact_mismatch_rr,solve_ms,rollout_termination_rate
2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.907348632812500000e-06,5.960464477539062500e-08,4.991888999938964844e-07,1.921282091643661261e-06,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.530383300781250000e+02,0.000000000000000000e+00
4.000000000000000083e-02,-1.859664916992187500e-03,-1.544952392578125000e-04,-9.572505950927734375e-04,1.207942981272935867e-02,1.859923079609870911e-02,1.880064047873020172e-02,1.476108096539974213e-03,1.577484305016696453e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.607907714843750000e+02,0.000000000000000000e+00
5.999999999999999778e-02,-6.105422973632812500e-03,5.149841308593750000e-05,-3.075301647186279297e-03,1.514462847262620926e-02,2.276057004928588867e-02,2.071941830217838287e-02,3.576385555788874626e-03,2.959636971354484558e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.576945190429687500e+02,0.000000000000000000e+00
8.000000000000000167e-02,-1.185989379882812500e-02,1.018524169921875000e-03,-5.648851394653320312e-03,1.644287630915641785e-02,2.377151325345039368e-02,2.552872337400913239e-02,8.185014128684997559e-03,4.850068129599094391e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.379587402343750000e+02,1.171875000000000000e-02
1.000000000000000056e-01,-1.755332946777343750e-02,1.148223876953125000e-03,-7.649838924407958984e-03,2.458937093615531921e-02,2.567936666309833527e-02,3.169687837362289429e-02,1.570616848766803741e-02,4.597324877977371216e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.478228149414062500e+02,1.562500000000000000e-02
1.199999999999999956e-01,-2.203941345214843750e-02,9.956359863281250000e-04,-1.043039560317993164e-02,3.173485770821571350e-02,2.758356928825378418e-02,3.533849120140075684e-02,2.208146080374717712e-02,4.574498627334833145e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.293142700195312500e+02,3.906250000000000000e-02
1.400000000000000133e-01,-2.410697937011718750e-02,6.389617919921875000e-04,-1.254022121429443359e-02,3.853461891412734985e-02,2.963056601583957672e-02,3.699852898716926575e-02,2.098246477544307709e-02,5.152893718332052231e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.683284912109375000e+02,1.171875000000000000e-02
1.600000000000000033e-01,-2.405738830566406250e-02,-1.411437988281250000e-04,-1.543253660202026367e-02,5.044814199209213257e-02,3.093885630369186401e-02,3.843012824654579163e-02,4.711877927184104919e-02,6.086966488510370255e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.453159179687500000e+02,0.000000000000000000e+00
1.799999999999999933e-01,-2.331352233886718750e-02,-1.964569091796875000e-03,-1.857143640518188477e-02,5.840018391609191895e-02,3.190963342785835266e-02,3.975874930620193481e-02,6.357555091381072998e-02,5.922644399106502533e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.152152709960937500e+02,0.000000000000000000e+00
2.000000000000000111e-01,-2.263832092285156250e-02,-4.299163818359375000e-03,-2.091425657272338867e-02,5.891645327210426331e-02,3.291383013129234314e-02,3.946771845221519470e-02,6.737183779478073120e-02,5.999856628477573395e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.312268066406250000e+02,0.000000000000000000e+00
