time_s,base_error_x_m,base_error_y_m,base_error_z_m,base_orientation_error_rad,wheel_error_fl_m,wheel_error_fr_m,wheel_error_rl_m,wheel_error_rr_m,contact_mismatch_fl,contact_mismatch_fr,contact_mismatch_rl,contact_mismatch_rr,solve_ms,rollout_termination_rate
2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.907348632812500000e-06,5.960464477539062500e-08,4.991888999938964844e-07,1.921282091643661261e-06,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.479340209960937500e+02,0.000000000000000000e+00
4.000000000000000083e-02,-1.335144042968750000e-05,-1.831054687500000000e-04,-1.172065734863281250e-03,2.071602037176489830e-03,3.531148424372076988e-03,1.683850539848208427e-03,2.187334699556231499e-03,1.495621865615248680e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.396956787109375000e+02,0.000000000000000000e+00
5.999999999999999778e-02,-3.421783447265625000e-03,-3.204345703125000000e-04,-3.448128700256347656e-03,1.007802225649356842e-02,1.405923999845981598e-02,5.824238061904907227e-03,3.174884710460901260e-03,1.799121266230940819e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.449177856445312500e+02,0.000000000000000000e+00
8.000000000000000167e-02,-8.548736572265625000e-03,3.433227539062500000e-04,-7.434308528900146484e-03,1.792736537754535675e-02,1.959215477108955383e-02,7.302764803171157837e-03,8.448409847915172577e-03,2.829436212778091431e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.704467163085937500e+02,3.906250000000000000e-03
1.000000000000000056e-01,-1.367187500000000000e-02,2.899169921875000000e-04,-1.102775335311889648e-02,1.869556494057178497e-02,2.207178436219692230e-02,1.106936112046241760e-02,1.579413749277591705e-02,4.670245107263326645e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.602362670898437500e+02,1.953125000000000000e-02
1.199999999999999956e-01,-1.729393005371093750e-02,1.296997070312500000e-04,-1.453280448913574219e-02,1.922372542321681976e-02,2.505100704729557037e-02,1.397643517702817917e-02,2.226419746875762939e-02,4.512485116720199585e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.602917480468750000e+02,7.812500000000000000e-03
1.400000000000000133e-01,-1.889228820800781250e-02,-1.049041748046875000e-04,-1.720482110977172852e-02,1.956791430711746216e-02,2.713537402451038361e-02,1.532441005110740662e-02,2.752229012548923492e-02,4.943589214235544205e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.813860473632812500e+02,4.687500000000000000e-02
1.600000000000000033e-01,-1.882743835449218750e-02,-4.577636718750000000e-04,-1.891016960144042969e-02,1.956791430711746216e-02,2.917214855551719666e-02,1.647788845002651215e-02,3.227332606911659241e-02,5.089881364256143570e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.474677124023437500e+02,5.078125000000000000e-02
1.799999999999999933e-01,-1.779556274414062500e-02,-9.078979492187500000e-04,-1.986783742904663086e-02,1.687227003276348114e-02,3.007039986550807953e-02,1.781588792800903320e-02,3.708632290363311768e-02,5.208262708038091660e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.604602661132812500e+02,1.328125000000000000e-01
2.000000000000000111e-01,-1.675224304199218750e-02,-1.937866210937500000e-03,-1.994502544403076172e-02,1.085260603576898575e-02,3.023781999945640564e-02,2.061145193874835968e-02,3.880809992551803589e-02,4.935908131301403046e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.192014770507812500e+02,0.000000000000000000e+00
2.200000000000000011e-01,-1.530075073242187500e-02,-2.979278564453125000e-03,-2.023184299468994141e-02,7.781927473843097687e-03,3.031066246330738068e-02,2.572467178106307983e-02,4.514557495713233948e-02,5.141670349985361099e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.694390869140625000e+02,0.000000000000000000e+00
