time_s,base_error_x_m,base_error_y_m,base_error_z_m,base_orientation_error_rad,wheel_error_fl_m,wheel_error_fr_m,wheel_error_rl_m,wheel_error_rr_m,contact_mismatch_fl,contact_mismatch_fr,contact_mismatch_rl,contact_mismatch_rr,solve_ms,rollout_termination_rate
2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.907348632812500000e-06,5.960464477539062500e-08,4.991888999938964844e-07,1.921282091643661261e-06,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.084449462890625000e+02,0.000000000000000000e+00
4.000000000000000083e-02,-7.438659667968750000e-05,-1.125335693359375000e-04,-1.368463039398193359e-03,4.143204540014266968e-03,2.038213191553950310e-03,2.256778767332434654e-03,1.955535728484392166e-03,1.505995634943246841e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.532741088867187500e+02,0.000000000000000000e+00
5.999999999999999778e-02,-3.694534301757812500e-03,-3.490447998046875000e-04,-4.061818122863769531e-03,1.591231860220432281e-02,7.853176444768905640e-03,8.734765462577342987e-03,3.219675505533814430e-03,2.124393125995993614e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.809758300781250000e+02,1.171875000000000000e-02
8.000000000000000167e-02,-8.758544921875000000e-03,2.174377441406250000e-04,-8.596181869506835938e-03,2.957254275679588318e-02,2.102878876030445099e-02,1.284530386328697205e-02,9.195508435368537903e-03,4.631306044757366180e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.490666503906250000e+02,0.000000000000000000e+00
1.000000000000000056e-01,-1.390647888183593750e-02,-3.471374511718750000e-04,-1.219058036804199219e-02,3.125031664967536926e-02,2.170422300696372986e-02,1.500112749636173248e-02,1.637703925371170044e-02,4.805872682482004166e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.532911987304687500e+02,0.000000000000000000e+00
1.199999999999999956e-01,-1.740264892578125000e-02,-1.358032226562500000e-03,-1.528847217559814453e-02,3.277709707617759705e-02,2.408158592879772186e-02,1.685151830315589905e-02,2.292019128799438477e-02,4.460655618458986282e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.301188354492187500e+02,0.000000000000000000e+00
1.400000000000000133e-01,-1.889038085937500000e-02,-2.523422241210937500e-03,-1.727294921875000000e-02,3.221951052546501160e-02,2.583016268908977509e-02,1.754446513950824738e-02,2.710575796663761139e-02,4.111151210963726044e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.216661376953125000e+02,1.171875000000000000e-02
1.600000000000000033e-01,-1.852226257324218750e-02,-3.480911254882812500e-03,-1.811873912811279297e-02,2.870520390570163727e-02,2.742432616651058197e-02,1.732614077627658844e-02,3.258810937404632568e-02,4.004870541393756866e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.233677368164062500e+02,7.812500000000000000e-03
1.799999999999999933e-01,-1.747512817382812500e-02,-4.743576049804687500e-03,-1.784449815750122070e-02,2.622229978442192078e-02,2.811565436422824860e-02,1.514961849898099899e-02,3.377030417323112488e-02,4.044350702315568924e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.483164672851562500e+02,0.000000000000000000e+00
2.000000000000000111e-01,-1.607513427734375000e-02,-5.683898925781250000e-03,-1.797729730606079102e-02,2.259862981736660004e-02,2.829412184655666351e-02,1.096383202821016312e-02,3.945304453372955322e-02,4.146231804043054581e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.390781250000000000e+02,0.000000000000000000e+00
2.200000000000000011e-01,-1.473617553710937500e-02,-6.101608276367187500e-03,-1.897072792053222656e-02,1.849039457738399506e-02,2.789239585399627686e-02,1.068882923573255539e-02,4.472640156745910645e-02,4.441591911017894745e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.582922973632812500e+02,0.000000000000000000e+00
2.399999999999999911e-01,-1.363945007324218750e-02,-6.069183349609375000e-03,-2.056449651718139648e-02,1.544084679335355759e-02,2.687558159232139587e-02,1.662066578865051270e-02,4.816108942031860352e-02,4.458658862859010696e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.430568237304687500e+02,0.000000000000000000e+00
2.600000000000000089e-01,-1.221275329589843750e-02,-5.670547485351562500e-03,-2.214640378952026367e-02,1.184020843356847763e-02,2.634963393211364746e-02,1.652802154421806335e-02,5.038001015782356262e-02,4.839717410504817963e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.093476562500000000e+02,0.000000000000000000e+00
2.800000000000000266e-01,-1.027870178222656250e-02,-5.004882812500000000e-03,-2.380311489105224609e-02,6.059413310140371323e-03,2.564822509884834290e-02,1.171494554728269577e-02,5.276272445917129517e-02,4.898716695606708527e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.448510131835937500e+02,0.000000000000000000e+00
2.999999999999999889e-01,-7.747650146484375000e-03,-4.121780395507812500e-03,-2.486532926559448242e-02,6.835940759629011154e-03,2.490778826177120209e-02,8.121772669255733490e-03,5.126935988664627075e-02,4.805253818631172180e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.158233642578125000e+02,0.000000000000000000e+00
3.200000000000000067e-01,-4.568099975585937500e-03,-2.761840820312500000e-03,-2.491247653961181641e-02,1.416860241442918777e-02,2.412156015634536743e-02,8.043575100600719452e-03,4.836406931281089783e-02,4.949293099343776703e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.227289428710937500e+02,0.000000000000000000e+00
